Quản lý,Chi tiết,Time,GTC,%Ontime
NTB - Đắk Nông,Điểm Xử Lý Hàng TDP 8 Quốc Lộ 14-Đông Gia Nghĩa-Lâm Đồng,2026-05-24 - Chủ Nhật,2,"0,0%"
NTB - Đắk Nông,Điểm Xử Lý Hàng TDP 8 Quốc Lộ 14-Đông Gia Nghĩa-Lâm Đồng,2026-05-29 - Thứ 6,5,"100,0%"
NTB - Đắk Nông,Điểm Xử Lý Hàng TDP 8 Quốc Lộ 14-Đông Gia Nghĩa-Lâm Đồng,2026-05-22 - Thứ 6,8,"62,5%"
NTB - Đắk Nông,Điểm Xử Lý Hàng TDP 8 Quốc Lộ 14-Đông Gia Nghĩa-Lâm Đồng,2026-05-23 - Thứ 7,11,"81,8%"
NTB - Đắk Nông,BC 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-26 - Thứ 3,32,"93,8%"
NTB - Đắk Nông,BC 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-06-07 - Chủ Nhật,32,"96,9%"
NTB - Đắk Nông,BC 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-18 - Thứ 2,37,"91,9%"
NTB - Đắk Nông,BC 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-29 - Thứ 6,42,"100,0%"
NTB - Đắk Nông,BC Nâm N'Jang-Đắk Song-Đắk Nông,2026-06-05 - Thứ 6,45,"100,0%"
NTB - Đắk Nông,BC Quảng Khê-Đắk Glong-Đắk Nông,2026-06-07 - Chủ Nhật,45,"95,6%"
NTB - Đắk Nông,BC 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-17 - Chủ Nhật,45,"93,3%"
NTB - Đắk Nông,BC 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-06-05 - Thứ 6,46,"95,7%"
NTB - Đắk Nông,BC Thôn 2-Xã Quảng Tín-Đắk Nông,2026-05-23 - Thứ 7,47,"95,7%"
NTB - Đắk Nông,BC Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-05-31 - Chủ Nhật,48,"81,3%"
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,2026-05-31 - Chủ Nhật,49,"91,8%"
NTB - Đắk Nông,BC Thôn 2-Tuy Đức-Đắk Nông,2026-05-27 - Thứ 4,49,"95,9%"
NTB - Đắk Nông,BC Thôn 2-Xã Quảng Tín-Đắk Nông,2026-05-17 - Chủ Nhật,49,"89,8%"
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,2026-06-07 - Chủ Nhật,50,"100,0%"
NTB - Đắk Nông,BC Thôn 2-Tuy Đức-Đắk Nông,2026-06-04 - Thứ 5,50,"96,0%"
NTB - Đắk Nông,BC Nâm N'Jang-Đắk Song-Đắk Nông,2026-05-25 - Thứ 2,51,"96,1%"
NTB - Đắk Nông,BC 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-06-04 - Thứ 5,53,"96,2%"
NTB - Đắk Nông,BC Quảng Khê-Đắk Glong-Đắk Nông,2026-05-26 - Thứ 3,56,"85,7%"
NTB - Đắk Nông,BC Quảng Sơn-Đắk Glong-Đắk Nông,2026-05-17 - Chủ Nhật,56,"89,3%"
