Vùng,Tỉnh,BC,Mã đơn,Tệp khách,Ngày nhập BC Giao,Số ngày đã nhập BC,Giờ câp nhật,Số lần giao,Nhóm BL,COD
NTB,Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,GYW8REL3,SME,2026-05-10 05:02:12.676000+00:00,35.1,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTLUC9G,SME,2026-05-12 09:01:38.353000+00:00,32.9,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTCV7VH,SME,2026-05-17 14:00:53.869000+00:00,27.7,2026-06-14 07:45:35.118000+00:00,4,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTUYNRL,SME,2026-05-18 10:53:37.470000+00:00,26.9,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng ,GYT6VTNQ,SME,2026-05-18 12:29:48.454000+00:00,26.8,2026-06-14 07:45:35.118000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng,GYTNHRGG,SME,2026-05-20 12:39:34.310000+00:00,24.8,2026-06-14 07:45:35.118000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,GYTPUCQR,SME,2026-05-23 07:15:43.156000+00:00,22.0,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTDHML3,SME,2026-05-23 08:38:52.070000+00:00,22.0,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,GYT3X849,SME,2026-05-23 13:24:11.243000+00:00,21.8,2026-06-14 07:45:35.118000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYT48BQE,SME,2026-05-23 16:01:26.923000+00:00,21.7,2026-06-14 07:45:35.118000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTB8R7R,SME,2026-05-23 16:04:46.286000+00:00,21.7,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYT4PHWK,SME,2026-05-24 14:49:24.982000+00:00,20.7,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTKTMN7,SME,2026-05-25 14:49:53.241000+00:00,19.7,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
NTB,Đắk Nông,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông,GYTCRGCP,SME,2026-05-26 06:07:27.387000+00:00,19.1,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,GYTWCPL6,SME,2026-05-26 07:44:13.556000+00:00,19.0,2026-06-14 07:45:35.118000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTCRGC7,SME,2026-05-26 08:40:43.409000+00:00,19.0,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTWHKP6,SME,2026-05-26 15:29:21.376000+00:00,18.7,2026-06-14 07:45:35.118000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTHR9QX,SME,2026-05-27 06:35:05.957000+00:00,18.0,2026-06-14 07:45:35.118000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTWL7RG,SME,2026-05-27 06:45:11.392000+00:00,18.0,2026-06-14 07:45:35.118000+00:00,0,(k) > 15 ngày,cod
