Tổng số lượng BC cảnh báo,"Logic: 
- %GTC của 7 ngày gần nhất
- HN và HCM lấy full hàng mới và hàng tồn
- Các tỉnh khác lấy hàng mới ca 1 + tồn

- Nếu HCM và HN < 50% => Cảnh báo
- Nếu các tỉnh khác < 45% => Cảnh báo
- Nếu %GTC < 70% Mốc %GTC tốt nhất trong lịch sử => Cảnh báo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9/12/2026,,9/11/2026,,09/09/2026,,,,12/09/2026,,,,,,,,Thời gian cập nhật 13/09/2026 19:00:35,,,,,,,
Vùng,Tỉnh,ID Bưu cục,Tên Bưu cục,%GTC_TB 7 ngày (1),%GTC_tốt nhất (6 tháng gần nhất. Số tính theo tuần) (2),%Tỷ trọng (1)/(2),%GTC_N-1,VolGTC_N-1,%GTC_N-2,VolGTC_N-2,%GTC_N-3,VolGTC_N-3,Tỷ trọng vol cần giao / toàn quốc ngày N-1,VolGTC_TB 7 ngày,"Tổng Vol cần giao
(3) + (4)","Vol_Tồn
(3)","Vol_Mới
(4)",Cảnh báo,Số ngày nằm trong danh sách cảnh báo - 3 tháng gần nhất,Số ngày dự kiến clear hàng,Số lượng nhân sự có gán đơn giao N-1,Điều tiết hàng (Giới hạn hàng về bưu cục),Backlog tồn đọng,%Backlog tồn đọng đã gán,Backlog >5 ngày,%FD_N-1 (ALL KH),%OntimeSLA_N-1 (TTS),%OPR_N-1 (TTS),%VolGTC <24h_N-1 (TTS),Volume tạo mới_N-1 (ALL KH)
NTB,Đắk Nông,22394000,(DNO) Quảng Tín,18.36%,59.86%,30.67%,17.59%,17800.00%,19.87%,219,0.19,199,0,196,1012,779,233,Cảnh báo GTC < 45%,86,5,,,1050,9.81%,384,,,,,289
NTB,Lâm Đồng,22389000,(LDO) Đức Trọng 1,19.18%,60.42%,31.75%,20.31%,27400.00%,16.01%,198,0.24,301,0,221,1349,1009,340,Cảnh báo GTC < 45%,69,6,,,1188,18.52%,328,,,90.91%,,326
NTB,Đắk Nông,20269000,(DNO) Kiến Đức,31.16%,63.28%,49.24%,30.13%,31000.00%,31.59%,332,0.34,297,0,302,1029,664,365,Cảnh báo GTC < 45%,78,3,,,951,40.38%,123,,,44.44%,,365
NTB,Lâm Đồng,21126000,(LDO) Xuân Hương - Đà Lạt,33.81%,65.10%,51.95%,26.45%,59400.00%,27.80%,593,0.32,623,0,589,2246,1406,840,Cảnh báo GTC < 45%,3,4,,,1997,14.52%,261,,,76.47%,,725
NTB,Lâm Đồng,22051000,(LDO) Lang Biang - Đà Lạt 1,35.28%,62.53%,56.42%,30.32%,30500.00%,40.59%,481,0.42,460,0,388,1006,571,435,Cảnh báo GTC < 45%,87,3,,,1240,59.27%,81,,,0.00%,,498
NTB,Đắk Nông,20590000,(DNO) Tuy Đức,38.06%,64.66%,58.87%,29.52%,19600.00%,41.98%,301,0.45,296,0,266,664,358,306,Cảnh báo GTC < 45%,19,3,,,731,47.74%,32,,,,,337
NTB,Khánh Hòa,22830000,(KHO) Cam Linh,38.22%,49.92%,76.56%,32.16%,74200.00%,28.22%,546,0.36,668,0,661,2307,1279,1028,Cảnh báo GTC < 45%,81,3,,,2219,31.91%,151,,,71.61%,,893
NTB,Lâm Đồng,20942000,(LDO) Di Linh,38.31%,58.86%,65.08%,45.81%,85300.00%,38.34%,814,0.39,855,0,743,1862,1669,193,Cảnh báo GTC < 45%,30,3,,,1645,43.83%,217,,,,,913
NTB,Khánh Hòa,20320000,(KHO) Tây Nha Trang,41.13%,68.64%,59.92%,29.24%,45500.00%,42.50%,550,0.33,432,0,479,1556,821,735,Cảnh báo GTC < 45%,3,3,,,1783,21.99%,13,,,72.60%,,"1,128"
NTB,Lâm Đồng,22425000,(LDO) Tân Hà Lâm Hà,43.45%,50.12%,86.69%,47.30%,42100.00%,40.58%,334,0.54,516,0,390,890,442,448,Cảnh báo GTC < 45%,76,2,,,795,36.35%,58,,,94.44%,,409
NTB,Đắk Nông,20269003,(DNO) Nhân Cơ,45.01%,71.51%,62.94%,45.89%,17300.00%,44.99%,175,0.49,203,0,165,377,217,160,Cảnh báo GTC < 70% lịch sử tốt nhất,31,2,,,249,28.92%,30,,,50.85%,,196
