Tỉnh,Quận/ huyện,Phường/xã cần tắt,"ID phường/xã
(MÀU ĐỎ LÀ ĐANG OFF)","Bưu Cục
Vùng để trống cột bất kỳ từ cột B-> S
Nhập sai format
=> KHÔNG REVIEW",Kết quả (KA) update,% Cap Down (KA),Thời gian tắt (KA),Thời gian mở (KA)
Đắk Nông,Huyện Đắk R lấp,Thị trấn Kiến Đức,630201,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026
Đắk Nông,Huyện Đắk R lấp,Xã Đạo Nghĩa,630205,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026
Đắk Nông,Huyện Đắk R lấp,Xã Kiến Thành,630207,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026
Đắk Nông,Huyện Đắk R lấp,Xã Nghĩa Thắng,630208,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026
Khánh Hòa,Thành phố Nha Trang,Phường Phước Tân,410106,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,DUYỆT,100%,09-06-2026,20-06-2026
Khánh Hòa,Thành phố Nha Trang,Phường Phương Sài,410108,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,DUYỆT,100%,09-06-2026,20-06-2026
Lâm Đồng,Huyện Di Linh,Thị trấn Di Linh,420401,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,20-06-2026
Lâm Đồng,Huyện Di Linh,Xã Bảo Thuận,420402,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026
Lâm Đồng,Huyện Di Linh,Xã Đinh Lạc,420403,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,20-06-2026
Lâm Đồng,Huyện Di Linh,Xã Đinh Trang Thượng,420405,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,25-06-2026
Lâm Đồng,Huyện Di Linh,Xã Gia Bắc,420406,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,25-06-2026
Lâm Đồng,Huyện Di Linh,Xã Gia Hiệp,420407,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,25-06-2026
Lâm Đồng,Huyện Di Linh,Xã Gung Ré,420408,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,20-06-2026
Lâm Đồng,Huyện Di Linh,Xã Sơn Điền,420414,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,25-06-2026
Lâm Đồng,Huyện Di Linh,Xã Tam Bố,420415,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,12-06-2026,25-06-2026
Lâm Đồng,Huyện Di Linh,Xã Tân Châu,420416,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026
