tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-05-15,3.Tạo sau 19h,4.Khác,gas tý nhân,6,20,NTB,0,W20,Phạm Bá Thành Công
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ Kiện Girls Xinh,20,20,NTB,20,W20,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-05-15,3.Tạo sau 19h,4.Khác,Kho Sỉ Giá Gốc,1,20,NTB,0,W20,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Thế Giới Đ Bẫy - STORE,5,20,NTB,0,W20,Huỳnh Tấn Hiền
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,Mộc Linh - Nhang Trầm,1,20,NTB,0,W20,Huỳnh Tấn Hiền
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,4.Khác,Thực Phẩm TP,27,20,NTB,0,W20,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,VTNN Duy Tân.,1,20,NTB,1,W20,Lê Minh Đại
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,3.Không liên lạc được,Kỹ Nghệ Bếp Mộc,1,20,NTB,0,W20,Nguyễn Lê Nguyên Vũ
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Gia dụng VIệt - Cozy Home,1,20,NTB,1,W20,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,2.Khách hẹn lại,Dương Dương ở Đà Lạt,1,20,NTB,0,W20,Lê Văn Trường
