warehouse_id,Bưu cục,Tỉnh,AM
1909,Kho Trung Chuyển Khánh Hòa,Khánh Hòa,Nguyễn Tiến Lực
20336000,Kho Chuyển Tiếp Đức Trọng-Lâm Đồng,Lâm Đồng,Võ Tấn Lợi
20797000,Kho Chuyển Tiếp Đắk Nông,Đắk Nông,Trần Công Hậu
20745000,Kho Chuyển Tiếp Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
22915000,Kho Chuyển Tiếp Bảo Lộc-Lâm Đồng,Lâm Đồng,Nguyễn Tiến Lực
20269003,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Đắk Nông,Trần Văn Phước
22048001,Điểm Xử Lý Hàng TDP 8 Quốc Lộ 14-Đông Gia Nghĩa-Lâm Đồng,Đắk Nông,Trần Công Hậu
22263000,Điểm Lấy Hàng Shop Thuốc Nam-Ninh Hải-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
22329000,Điểm Lấy Hàng Shop Đại Lý Bang Phương,Bình Thuận,Huỳnh Tấn Hiền
22356000,Điểm lấy hàng Shop 4872154-Gốm Chăm Bầu Trúc,Ninh Thuận,Nguyễn Duy Long
22357001,Điểm Lấy Hàng Quốc Lộ 1A-Xã Cà Ná-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
21659000,Điểm lấy hàng Nguyễn Đình Chiểu-Nghĩa Tân-Gia Nghĩa-Đăk Nông,Đắk Nông,Trần Thị Nhung
21456000,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,Bình Thuận,Huỳnh Tấn Hiền
20543000,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,Khánh Hòa,Phạm Bá Thành Công
20558000,Bưu Cục Tổ 5 Đường Ngô Gia Tự-Khánh Vĩnh-Khánh Hòa,Khánh Hòa,Nguyễn Hoàng Phi
20694000,Bưu Cục Thôn Xuân Hoà 1-Ninh Hoà-Khánh Hoà,Khánh Hòa,Phạm Bá Thành Công
22389000,Bưu Cục Thôn R'Chai 2-Xã Đức Trọng-Lâm Đồng,Lâm Đồng,Trầm Hữu Tiến
