Cấp quản lý,Chi tiết,Ca,Time,Volume,%Gán,%LTC,%Đóng kiện,%LC,Leadtime,Sản Lượng Lấy Thành Công,Sản Lượng Gán,Sản Lượng Chưa Gán,% Chưa Gán,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-06 - Thứ 7,7,100%,71.43%,71.43%,42.86%,41,3,7,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-19 - Thứ 3,13,100%,38.46%,38.46%,38.46%,38,5,13,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-21 - Thứ 5,13,100%,100.00%,100.00%,92.31%,28.69,12,13,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-09 - Thứ 3,13,100%,69.23%,61.54%,61.54%,36.13,8,13,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-07 - Chủ Nhật,13,100%,53.85%,53.85%,38.46%,35.86,5,13,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-08 - Thứ 2,14,100%,78.57%,78.57%,78.57%,42.18,11,14,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-01 - Thứ 2,15,100%,86.67%,86.67%,80.00%,42.08,12,15,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-25 - Thứ 2,16,100%,75.00%,75.00%,62.50%,32.17,10,16,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-24 - Chủ Nhật,17,100%,70.59%,70.59%,52.94%,25.58,9,17,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-29 - Thứ 6,18,100%,88.89%,88.89%,66.67%,28.31,12,18,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-22 - Thứ 6,21,100%,76.19%,76.19%,71.43%,26.56,15,21,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-03 - Thứ 4,21,100%,76.19%,71.43%,76.19%,34.33,16,21,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-02 - Thứ 3,22,100%,95.45%,95.45%,90.91%,23.19,20,22,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-18 - Thứ 2,27,100%,74.07%,74.07%,74.07%,40.7,20,27,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-06-05 - Thứ 6,30,100%,90.00%,90.00%,86.67%,32.96,26,30,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-27 - Thứ 4,31,100%,83.87%,83.87%,67.74%,34.04,21,31,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-28 - Thứ 5,32,100%,84.38%,84.38%,65.63%,24.41,21,32,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
NTB - Bình Thuận,BC 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Hàng Tồn,2026-05-13 - Thứ 4,34,100%,91.18%,85.29%,88.24%,31.76,30,34,0,0.00%,0,Bình Thuận,NTB,Huỳnh Tấn Hiền
