Cấp Quản Lý,Chi tiết,Loại Hàng,Time,Volume,% Gán,% GTC,% Chuyển trả,Leadtime,Sản Lượng Giao Thành Công,Sản Lượng Chuyển Trả,Sản Lượng Gán,Sản Lượng Trả,Sản Lượng Tồn,Sản Lượng Chưa Gán,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-07 - Chủ Nhật,20,60.00%,55.00%,0.00%,7.55,11,0,12,0,9,8,40.00%,45.00%,20,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-27 - Thứ 4,24,91.67%,91.67%,0.00%,5.32,22,0,22,0,2,2,8.33%,8.33%,24,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-25 - Thứ 2,27,100.00%,81.48%,0.00%,6.77,22,0,27,0,5,0,0.00%,18.52%,27,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-31 - Chủ Nhật,30,100.00%,76.67%,0.00%,7.83,23,0,30,0,7,0,0.00%,23.33%,30,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-01 - Thứ 2,28,100.00%,82.14%,0.00%,6.17,23,0,28,0,5,0,0.00%,17.86%,28,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-29 - Thứ 6,25,100.00%,92.00%,0.00%,5.3,23,0,25,0,2,0,0.00%,8.00%,25,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-24 - Chủ Nhật,31,87.10%,80.65%,0.00%,6.76,25,0,27,0,6,4,12.90%,19.35%,31,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-28 - Thứ 5,45,88.89%,64.44%,0.00%,4.41,29,0,40,0,16,5,11.11%,35.56%,45,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-05-20 - Thứ 4,33,100.00%,90.91%,0.00%,6.03,30,0,33,0,3,0,0.00%,9.09%,33,Đắk Nông,NTB,Trần Văn Phước
NTB - Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,Hàng Mới Ca 1,2026-06-04 - Thứ 5,39,100.00%,79.49%,0.00%,7.06,31,0,39,0,8,0,0.00%,20.51%,39,Đắk Nông,NTB,Trần Văn Phước
