Vùng,Tỉnh,BC,Mã đơn,Tệp khách,Ngày nhập BC Giao,Số ngày đã nhập BC,Giờ câp nhật,Số lần giao,Nhóm BL,COD
NTB,Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,GYW8REL3,SME,2026-05-10 05:02:12.676000+00:00,32.1,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTLUC9G,SME,2026-05-12 09:01:38.353000+00:00,29.9,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTUYNRL,SME,2026-05-18 10:53:37.470000+00:00,23.9,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng ,GYT6VTNQ,SME,2026-05-18 12:29:48.454000+00:00,23.8,2026-06-11 07:45:36.692000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTV7WRR,SME,2026-05-19 07:14:13.925000+00:00,23.0,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng,GYTNHRGG,SME,2026-05-20 12:39:34.310000+00:00,21.8,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYT68BW8,SME,2026-05-20 13:23:22.938000+00:00,21.8,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTB6G8V,SME,2026-05-22 06:37:58.481000+00:00,20.0,2026-06-11 07:45:36.692000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTD4E8W,SME,2026-05-22 07:05:22.110000+00:00,20.0,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Đắk Nông,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,GYTD94VE,SME,2026-05-22 16:38:40.777000+00:00,19.6,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,GYTPUCQR,SME,2026-05-23 07:15:43.156000+00:00,19.0,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTDHML3,SME,2026-05-23 08:38:52.070000+00:00,19.0,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,GYT3X849,SME,2026-05-23 13:24:11.243000+00:00,18.8,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYT48BQE,SME,2026-05-23 16:01:26.923000+00:00,18.7,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTDYLPT,SME,2026-05-23 16:01:55.609000+00:00,18.7,2026-06-11 07:45:36.692000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTB8R7R,SME,2026-05-23 16:04:46.286000+00:00,18.7,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTDA8D4,SME,2026-05-23 17:38:32.467000+00:00,18.6,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Khánh Hòa,Bưu Cục Đường 35 Hà Quang 1-Xã Nam Nha Trang-Khánh Hòa,GYT4DAXL,SME,2026-05-24 07:21:14.827000+00:00,18.0,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYT4PHWK,SME,2026-05-24 14:49:24.982000+00:00,17.7,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYT48QDT,SME,2026-05-24 14:50:23.705000+00:00,17.7,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Khánh Hòa,Bưu Cục Đường 35 Hà Quang 1-Xã Nam Nha Trang-Khánh Hòa,GYTP7M78,SME,2026-05-25 07:10:20.380000+00:00,17.0,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTKEUYK,SME,2026-05-25 10:55:48.619000+00:00,16.9,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTKEUWM,SME,2026-05-25 10:57:40.541000+00:00,16.9,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTKTMN7,SME,2026-05-25 14:49:53.241000+00:00,16.7,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,NVS773860505,SME,2026-05-25 14:51:18.403000+00:00,16.7,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTKWUHC,SME,2026-05-25 14:51:32.276000+00:00,16.7,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Khánh Hòa,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,GYTK3XRB,SME,2026-05-25 18:40:04.223000+00:00,16.5,2026-06-11 07:45:36.692000+00:00,6,(k) > 15 ngày,cod
NTB,Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,GYTCR69K,SME,2026-05-26 05:07:22.414000+00:00,16.1,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,GYTCR6CA,SME,2026-05-26 05:07:22.414000+00:00,16.1,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Đắk Nông,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông,GYTCRGCP,SME,2026-05-26 06:07:27.387000+00:00,16.1,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTKHEVC,SME,2026-05-26 06:48:45.463000+00:00,16.0,2026-06-11 07:45:36.692000+00:00,6,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,GYTWCPL6,SME,2026-05-26 07:44:13.556000+00:00,16.0,2026-06-11 07:45:36.692000+00:00,2,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTCRGC7,SME,2026-05-26 08:40:43.409000+00:00,16.0,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTW776E,SME,2026-05-26 15:29:09.702000+00:00,15.7,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTWHKP6,SME,2026-05-26 15:29:21.376000+00:00,15.7,2026-06-11 07:45:36.692000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,GYTKHEV4,SME,2026-05-26 17:17:03.489000+00:00,15.6,2026-06-11 07:45:36.692000+00:00,5,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYT488E8,SME,2026-05-27 06:24:15.900000+00:00,15.1,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYT4RNRV,SME,2026-05-27 06:25:15.358000+00:00,15.1,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTKTVYA,SME,2026-05-27 06:26:54.529000+00:00,15.1,2026-06-11 07:45:36.692000+00:00,3,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTHR9QX,SME,2026-05-27 06:35:05.957000+00:00,15.0,2026-06-11 07:45:36.692000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTWL7RG,SME,2026-05-27 06:45:11.392000+00:00,15.0,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTKMK9W,SME,2026-05-27 06:45:47.255000+00:00,15.0,2026-06-11 07:45:36.692000+00:00,1,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,GYTT44T6,SME,2026-05-27 07:17:52.528000+00:00,15.0,2026-06-11 07:45:36.692000+00:00,0,(k) > 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTHUHGH,SME,2026-05-27 12:20:30.106000+00:00,14.8,2026-06-11 07:45:36.692000+00:00,3,(j) 14 - 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTTWKT9,SME,2026-05-27 12:21:53.949000+00:00,14.8,2026-06-11 07:45:36.692000+00:00,3,(j) 14 - 15 ngày,cod
NTB,Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,GYTX3VT9,Shopee,2026-05-27 12:56:50.207000+00:00,14.8,2026-06-11 07:45:36.692000+00:00,0,(j) 14 - 15 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTH66BL,Shopee,2026-05-27 15:02:45.933000+00:00,14.7,2026-06-11 07:45:36.692000+00:00,0,(j) 14 - 15 ngày,non - không phí
NTB,Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,GYTHLLAP,SME,2026-05-27 15:03:30.015000+00:00,14.7,2026-06-11 07:45:36.692000+00:00,1,(j) 14 - 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTTYCNG,SME,2026-05-27 15:32:19.553000+00:00,14.7,2026-06-11 07:45:36.692000+00:00,0,(j) 14 - 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,GYTWMBKW,SME,2026-05-27 17:58:03.278000+00:00,14.6,2026-06-11 07:45:36.692000+00:00,5,(j) 14 - 15 ngày,cod
NTB,Khánh Hòa,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,GYTXP9QC,SME,2026-05-27 19:21:07.861000+00:00,14.5,2026-06-11 07:45:36.692000+00:00,0,(j) 14 - 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTXXP3M,SME,2026-05-28 06:31:06.159000+00:00,14.1,2026-06-11 07:45:36.692000+00:00,3,(j) 14 - 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTTM6VF,SME,2026-05-28 06:34:25.158000+00:00,14.0,2026-06-11 07:45:36.692000+00:00,1,(j) 14 - 15 ngày,cod
NTB,Đắk Nông,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,GYTT4AGB,Shopee,2026-05-28 07:21:10.240000+00:00,14.0,2026-06-11 07:45:36.692000+00:00,2,(j) 14 - 15 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTHVUPE,SME,2026-05-28 12:13:22.691000+00:00,13.8,2026-06-11 07:45:36.692000+00:00,7,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTXPL99,SME,2026-05-28 12:17:48.360000+00:00,13.8,2026-06-11 07:45:36.692000+00:00,5,(i) 13 - 14 ngày,cod
NTB,Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,GYTX4X4A,SME,2026-05-28 12:27:09.829000+00:00,13.8,2026-06-11 07:45:36.692000+00:00,6,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,GYTHQ9WB,SME,2026-05-28 12:52:56.622000+00:00,13.8,2026-06-11 07:45:36.692000+00:00,1,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTXM9WN,Shopee-Bulky,2026-05-28 13:13:16.661000+00:00,13.8,2026-06-11 07:45:36.692000+00:00,3,(i) 13 - 14 ngày,cod
