Thời gian cập nhật,,12/06/2026,,"Logic thuộc 1 trong 4 trường hợp sau:

Tồn LM: Lượng đơn Backlogs LastMile trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn KTC: Lượng đơn Backlogs KTC cùng tỉnh trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn LM + Tồn KTC: Các bưu cục đồng thời thuộc cả 2 nhóm: Tồn LM và Tồn KTC
Tồn Aging >5 ngày: tỷ lệ đơn tồn trên 5 ngày chiếm từ 10% trở lên trên tổng lượng Backlogs LastMile.",,,,,,,,,,,,,,,,
Tổng số lượng bưu cục cảnh báo:,,10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ngay,vung_giao,tinh_giao,kho_giao_id,kho_giao_name,warehouse_type,bl lm,bl lm >5 ngay,%bl lm >5 ngay,bl ktc,bl ktc cung tinh,%bl ktc cung tinh,tao_n1,tao_avg_7ngay,gtc_n1,gtc_avg_7ngay,gtc_max_7ngay,du_kien_clear_ton,tinh_hinh,ly_do_bat_on,Trạng thái
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22425000,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,BC,1673,357,21.30%,237,12,0.051,320,398,413,376,487,4,Bất ổn,2. Tồn LM | 4. Tồn Aging >5 ngày,Bất ổn
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,22830000,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,BC,1794,73,4.10%,561,54,0.096,661,849,518,595,781,3,Bất ổn,2. Tồn LM,Bất ổn
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,20942000,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,BC,1704,184,10.80%,846,419,0.495,631,721,697,661,867,3,Bất ổn,2. Tồn LM | 4. Tồn Aging >5 ngày,Bất ổn
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,22704000,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,BC,1962,113,5.80%,808,35,0.043,504,959,941,824,1033,2,Bất ổn,2. Tồn LM,Bất ổn
2026-06-11 07:30:36.897000,NTB,Đắk Nông,22048000,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,BC,554,11,2.00%,266,16,0.06,286,317,198,262,315,2,Bất ổn,2. Tồn LM,Bất ổn
2026-06-11 07:30:36.897000,NTB,Đắk Nông,22394000,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,BC,654,55,8.40%,238,20,0.084,307,328,360,307,387,2,Bất ổn,2. Tồn LM,Bất ổn
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22051000,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,BC,819,60,7.30%,512,247,0.482,400,470,360,391,473,2,Bất ổn,2. Tồn LM,Bất ổn
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,20588000,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,BC,1168,8,0.70%,506,38,0.075,619,750,676,578,679,2,Bất ổn,2. Tồn LM,Bất ổn
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,21094000,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,GXT,819,1,0.10%,200,37,0.185,733,572,401,400,514,2,Bất ổn,2. Tồn LM,Bất ổn
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22389000,Bưu Cục Thôn R'Chai 2-Xã Đức Trọng-Lâm Đồng,BC,828,39,4.70%,222,16,0.072,379,448,379,430,524,2,Bình thường,,Chuẩn bị nhảy nhóm
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21377000,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,BC,1423,104,7.30%,494,43,0.087,679,797,587,758,900,2,Bình thường,,Chuẩn bị nhảy nhóm
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22759000,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,BC,643,89,13.80%,319,125,0.392,265,333,307,365,455,2,Bất ổn,4. Tồn Aging >5 ngày,Bất ổn
2026-06-11 07:30:36.897000,NTB,Đắk Nông,20269000,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,BC,584,35,6.00%,358,22,0.061,333,372,360,341,401,2,Bình thường,,Cấp cảnh báo
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,21479000,Bưu Cục 571 Hùng Vương-Cam Nghĩa-TP.Cam Ranh-Khánh Hoà,BC,608,9,1.50%,361,23,0.064,431,481,544,367,544,2,Bình thường,,Cấp cảnh báo
2026-06-11 07:30:36.897000,NTB,Đắk Nông,20590000,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông,BC,504,11,2.20%,233,19,0.082,338,357,415,301,415,2,Bình thường,,Cấp cảnh báo
2026-06-11 07:30:36.897000,NTB,Đắk Nông,21364000,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông,BC,411,8,1.90%,236,26,0.11,209,276,273,245,302,2,Bình thường,,Cấp cảnh báo
