=== CoCauVung Dump ===
    warehouse_id                                                       Bưu cục        Tỉnh                      AM
0           1909                                    Kho Trung Chuyển Khánh Hòa   Khánh Hòa         Nguyễn Tiến Lực
1       20336000                            Kho Chuyển Tiếp Đức Trọng-Lâm Đồng    Lâm Đồng              Võ Tấn Lợi
2       20797000                                      Kho Chuyển Tiếp Đắk Nông    Đắk Nông           Trần Công Hậu
3       20745000                                    Kho Chuyển Tiếp Bình Thuận  Bình Thuận       Nguyễn Ngọc Khánh
4       22915000                              Kho Chuyển Tiếp Bảo Lộc-Lâm Đồng    Lâm Đồng         Nguyễn Tiến Lực
5       20269003                    Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông    Đắk Nông          Trần Văn Phước
6       22048001      Điểm Xử Lý Hàng TDP 8 Quốc Lộ 14-Đông Gia Nghĩa-Lâm Đồng    Đắk Nông           Trần Công Hậu
7       22153000       Điểm nhận hàng Xã Trạm Hành-Xuân Trường-Đà Lạt-Lâm Đồng    Lâm Đồng              Võ Tấn Lợi
8       22154000            Điểm nhận hàng Xã Lát-Đưng K'Nớ-Lạc Dương-Lâm Đồng    Lâm Đồng              Võ Tấn Lợi
9       22155000                  Điểm nhận hàng Xã Đạ Nhim-Lạc Dương-Lâm Đồng    Lâm Đồng              Võ Tấn Lợi
10      21377001                   Điểm Nhận Hàng Quốc Lộ 27-Xã D'Ran-Lâm Đồng    Lâm Đồng              Võ Tấn Lợi
11      20591001          Điểm nhận hàng DT684 Buôn Krue-Xã Quảng Phú-Đắk Nông    Đắk Nông          Trần Thị Nhung
12      22375000                       Điểm nhận hàng Đắk Sắk-Đắk Mil-Lâm Đồng    Đắk Nông          Trần Thị Nhung
13      22263000              Điểm Lấy Hàng Shop Thuốc Nam-Ninh Hải-Ninh Thuận  Ninh Thuận         Nguyễn Duy Long
14      22329000                         Điểm Lấy Hàng Shop Đại Lý Bang Phương  Bình Thuận          Huỳnh Tấn Hiền
15      22356000                  Điểm lấy hàng Shop 4872154-Gốm Chăm Bầu Trúc  Ninh Thuận         Nguyễn Duy Long
16      22357001                  Điểm Lấy Hàng Quốc Lộ 1A-Xã Cà Ná-Ninh Thuận  Ninh Thuận         Nguyễn Duy Long
17      21659000  Điểm lấy hàng Nguyễn Đình Chiểu-Nghĩa Tân-Gia Nghĩa-Đăk Nông    Đắk Nông          Trần Thị Nhung
18      21456000                      Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận  Bình Thuận          Huỳnh Tấn Hiền
19      20543000                       Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà   Khánh Hòa      Phạm Bá Thành Công
20      20558000            Bưu Cục Tổ 5 Đường Ngô Gia Tự-Khánh Vĩnh-Khánh Hòa   Khánh Hòa        Nguyễn Hoàng Phi
21      20694000                    Bưu Cục Thôn Xuân Hoà 1-Ninh Hoà-Khánh Hoà   Khánh Hòa      Phạm Bá Thành Công
22      22389000                   Bưu Cục Thôn R'Chai 2-Xã Đức Trọng-Lâm Đồng    Lâm Đồng           Trầm Hữu Tiến
23      22425000              Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng    Lâm Đồng       Huỳnh Thị Kim Chi
24      22774000             Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa   Khánh Hòa        Nguyễn Hoàng Phi
25      21722000             Bưu Cục Thôn Long Hoà-Vạn Long-Vạn Ninh-Khánh Hoà   Khánh Hòa      Phạm Bá Thành Công
26      21331000                        Bưu Cục Thôn Dầu Sơn-Cam Lâm-Khánh Hoà   Khánh Hòa        Nguyễn Hoàng Phi
27      22394000                          Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông    Đắk Nông          Trần Văn Phước
28      20590000                               Bưu Cục Thôn 2-Tuy Đức-Đắk Nông    Đắk Nông          Trần Thị Nhung
29      21298000              Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận  Bình Thuận         Nguyễn Duy Long
30      21377000             Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng    Lâm Đồng             Lê Minh Đại
31      21458000                           Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng    Lâm Đồng       Huỳnh Thị Kim Chi
32      21067000                     Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận  Bình Thuận      Cao Thị Thanh Thủy
33      22312000         Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng    Lâm Đồng           Lê Văn Trường
34      20499000                      Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận  Ninh Thuận         Nguyễn Duy Long
35      21477000                   Bưu Cục Quốc Lộ 14-Đức An-Đắk Song-Đăk Nông    Đắk Nông          Trần Thị Nhung
36      21150000                          Bưu Cục Quảng Sơn-Đắk Glong-Đắk Nông    Đắk Nông          Trần Thị Nhung
37      21364000                          Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông    Đắk Nông          Trần Thị Nhung
38      23015000                               Bưu Cục QL55-Bảo Lâm 3-Lâm Đồng    Lâm Đồng         Hồng Bích Nga
39      20849000                      Bưu Cục QL20 Ninh Hòa-Đức Trọng-Lâm Đồng    Lâm Đồng              Võ Tấn Lợi
40      22357000                       Bưu Cục Phước Minh-Thuận Nam-Ninh Thuận  Ninh Thuận         Nguyễn Duy Long
41          2502                        Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà   Khánh Hòa      Thái Thị Thanh Thư
