Tỉnh,Quận/ huyện,Phường/xã cần tắt,"Bưu Cục
Vùng để trống cột bất kỳ từ cột B-> R 
Nhập sai format
=> KHÔNG REVIEW",Kết quả (KA) update,% Cap Down (KA),Thời gian tắt (KA),Thời gian mở (KA),Note
Đắk Nông,Huyện Đắk R lấp,Thị trấn Kiến Đức,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Huyện Đắk R lấp,Xã Đạo Nghĩa,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Huyện Đắk R lấp,Xã Kiến Thành,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Huyện Đắk R lấp,Xã Nghĩa Thắng,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Nha Trang,Phường Phước Tân,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,DUYỆT,100%,09-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Khánh Hòa,Thành phố Nha Trang,Phường Phương Sài,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,DUYỆT,100%,09-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Di Linh,Thị trấn Di Linh,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,12-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Di Linh,Xã Bảo Thuận,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Di Linh,Xã Đinh Lạc,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,12-06-2026,12-06-2026,Tuyến Đang OFF - Mở lại ngày: 12/06/2026
Lâm Đồng,Huyện Di Linh,Xã Đinh Trang Thượng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Di Linh,Xã Gia Bắc,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Di Linh,Xã Gia Hiệp,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Di Linh,Xã Gung Ré,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,12-06-2026,12-06-2026,Tuyến Đang OFF - Mở lại ngày: 12/06/2026
Lâm Đồng,Huyện Di Linh,Xã Sơn Điền,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Di Linh,Xã Tam Bố,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Di Linh,Xã Tân Châu,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Di Linh,Xã Tân Lâm,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Di Linh,Xã Tân Nghĩa,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Di Linh,Xã Tân Thượng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Di Linh,Xã Đinh Trang Hòa,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Di Linh,Xã Hòa Bắc,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Di Linh,Xã Hòa Nam,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Di Linh,Xã Hòa Ninh,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Di Linh,Xã Hòa Trung,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Di Linh,Xã Liên Đầm,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Bảo Lâm,Thị trấn Lộc Thắng,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Bảo Lâm,Xã B' Lá,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Bảo Lâm,Xã Lộc Lâm,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Bảo Lâm,Xã Lộc Ngãi,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Bảo Lâm,Xã Lộc Phú,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Bảo Lâm,Xã Lộc Quảng,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Khánh Hòa,Huyện Cam Lâm,Thị trấn Cam Đức,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam An Bắc,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam An Nam,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam Hải Đông,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam Hải Tây,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam Hiệp Bắc,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam Hiệp Nam,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam Phước Tây,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Huyện Cam Lâm,Xã Cam Thành Bắc,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Ba Ngòi,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Linh,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Lộc,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Lợi,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Phú,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Phúc Nam,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Thuận,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Xã Cam Bình,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
