Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
20590000,GYHNGWPY,Luân chuyển trả,OTHER,Chưa đóng kiện,0_6,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYTY4X43,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH7ABP3,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYHU9UXF,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9LXUQ,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9UV74,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9VDFX,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH964BN,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9NL9U,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9ABBR,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9ABBM,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9RV6L,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH9M88X,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYHVLLCU,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYHVFU3N,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH6734B,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80619766610,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80290206702,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80971036606,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80696726609,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80268006605,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80055376608,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80243576608,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,VNGH80221556604,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH73WFM,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYH68BLH,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
20590000,GYHPPDYA,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông
